LobbystEmployerId,LobbyistId,OrganizationId,DateAdded,Year
505,359,410,06-Jul-14,2014
506,360,411,06-Jul-14,2014
507,361,412,06-Jul-14,2014
508,362,413,06-Jul-14,2014
509,363,389,06-Jul-14,2014
510,365,191,06-Jul-14,2014
512,366,27,06-Jul-14,2014
514,366,415,06-Jul-14,2014
515,367,416,06-Jul-14,2014
517,367,418,06-Jul-14,2014
518,367,419,06-Jul-14,2014
519,368,420,06-Jul-14,2014
520,367,421,06-Jul-14,2014
522,369,217,06-Jul-14,2014
525,367,425,06-Jul-14,2014
526,367,426,06-Jul-14,2014
533,373,258,06-Jul-14,2014
535,375,433,06-Jul-14,2014
538,376,436,06-Jul-14,2014
540,376,202,06-Jul-14,2014
544,377,441,06-Jul-14,2014
545,378,442,06-Jul-14,2014
546,380,59,06-Jul-14,2014
547,381,133,06-Jul-14,2014
550,382,293,06-Jul-14,2014
551,374,444,06-Jul-14,2014
552,382,294,06-Jul-14,2014
554,383,446,06-Jul-14,2014
555,384,130,06-Jul-14,2014
556,385,447,06-Jul-14,2014
557,385,448,06-Jul-14,2014
558,385,449,06-Jul-14,2014
559,385,450,06-Jul-14,2014
560,385,336,06-Jul-14,2014
561,386,451,06-Jul-14,2014
562,386,318,06-Jul-14,2014
565,388,201,06-Jul-14,2014
566,389,454,06-Jul-14,2014
568,391,31,06-Jul-14,2014
569,392,186,06-Jul-14,2014
570,393,202,06-Jul-14,2014
571,394,430,06-Jul-14,2014
572,395,113,06-Jul-14,2014
573,396,323,06-Jul-14,2014
574,397,113,06-Jul-14,2014
575,398,456,06-Jul-14,2014
576,398,457,06-Jul-14,2014
578,399,295,06-Jul-14,2014
597,401,472,06-Jul-14,2014
598,402,363,06-Jul-14,2014
599,403,1074,06-Jul-14,2014
600,403,474,06-Jul-14,2014
602,403,476,06-Jul-14,2014
603,403,477,06-Jul-14,2014
605,404,479,06-Jul-14,2014
606,405,480,06-Jul-14,2014
607,406,481,06-Jul-14,2014
608,407,351,06-Jul-14,2014
609,408,321,06-Jul-14,2014
610,409,482,06-Jul-14,2014
611,410,482,06-Jul-14,2014
612,411,483,06-Jul-14,2014
614,412,485,06-Jul-14,2014
615,412,75,06-Jul-14,2014
618,412,488,06-Jul-14,2014
619,412,489,06-Jul-14,2014
620,412,490,06-Jul-14,2014
624,412,493,06-Jul-14,2014
625,412,494,06-Jul-14,2014
626,412,495,06-Jul-14,2014
627,412,496,06-Jul-14,2014
628,412,497,06-Jul-14,2014
629,413,498,06-Jul-14,2014
630,414,499,06-Jul-14,2014
632,415,403,06-Jul-14,2014
633,416,202,06-Jul-14,2014
634,417,500,06-Jul-14,2014
635,418,501,06-Jul-14,2014
636,418,502,06-Jul-14,2014
637,418,503,06-Jul-14,2014
639,418,504,06-Jul-14,2014
640,418,412,06-Jul-14,2014
641,418,505,06-Jul-14,2014
642,418,506,06-Jul-14,2014
643,418,507,06-Jul-14,2014
645,418,509,06-Jul-14,2014
647,418,511,06-Jul-14,2014
648,418,512,06-Jul-14,2014
649,418,513,06-Jul-14,2014
650,419,483,06-Jul-14,2014
652,419,515,06-Jul-14,2014
655,419,518,06-Jul-14,2014
656,420,519,06-Jul-14,2014
657,419,22,06-Jul-14,2014
661,419,288,06-Jul-14,2014
662,419,522,06-Jul-14,2014
668,419,528,06-Jul-14,2014
669,421,529,06-Jul-14,2014
671,422,202,06-Jul-14,2014
673,423,532,06-Jul-14,2014
676,423,535,06-Jul-14,2014
677,423,536,06-Jul-14,2014
679,423,537,06-Jul-14,2014
680,423,538,06-Jul-14,2014
682,423,540,06-Jul-14,2014
684,423,542,06-Jul-14,2014
687,424,545,06-Jul-14,2014
688,423,546,06-Jul-14,2014
690,425,547,06-Jul-14,2014
691,426,201,06-Jul-14,2014
693,428,402,06-Jul-14,2014
694,429,549,06-Jul-14,2014
695,430,550,06-Jul-14,2014
696,431,303,06-Jul-14,2014
697,431,551,06-Jul-14,2014
699,431,304,06-Jul-14,2014
700,431,308,06-Jul-14,2014
701,432,374,06-Jul-14,2014
702,433,552,06-Jul-14,2014
703,434,553,06-Jul-14,2014
705,436,133,06-Jul-14,2014
706,437,201,06-Jul-14,2014
707,438,191,06-Jul-14,2014
